Year,Country,Happiness scores,GDP,Social support,Helathy life expectancy,Freedom to make choices,Generosity,Perceptions of corruption
2018,Finland,7.769,1.34,1.587,0.986,0.596,0.153,0.393
2018,Denmark,7.6,1.383,1.573,0.996,0.592,0.252,0.41
2018,Norway,7.554,1.488,1.582,1.028,0.603,0.271,0.341
2018,Iceland,7.494,1.38,1.624,1.026,0.591,0.354,0.118
2018,Netherlands,7.488,1.396,1.522,0.999,0.557,0.322,0.298
2018,Switzerland,7.48,1.452,1.526,1.052,0.572,0.263,0.343
2018,Sweden,7.343,1.387,1.487,1.009,0.574,0.267,0.373
2018,New Zealand,7.307,1.303,1.557,1.026,0.585,0.33,0.38
2018,Canada,7.278,1.365,1.505,1.039,0.584,0.285,0.308
2018,Austria,7.246,1.376,1.475,1.016,0.532,0.244,0.226
2018,Australia,7.228,1.372,1.548,1.036,0.557,0.332,0.29
2018,Costa Rica,7.167,1.034,1.441,0.963,0.558,0.144,0.093
2018,Israel,7.139,1.276,1.455,1.029,0.371,0.261,0.082
2018,Luxembourg,7.09,1.609,1.479,1.012,0.526,0.194,0.316
2018,United Kingdom,7.054,1.333,1.538,0.996,0.45,0.348,0.278
2018,Ireland,7.021,1.499,1.553,0.999,0.516,0.298,0.31
2018,Germany,6.985,1.373,1.454,0.987,0.495,0.261,0.265
2018,Belgium,6.923,1.356,1.504,0.986,0.473,0.16,0.21
2018,United States of America,6.892,1.433,1.457,0.874,0.454,0.28,0.128
2018,Czech Republic,6.852,1.269,1.487,0.92,0.457,0.046,0.036
2018,United Arab Emirates,6.825,1.503,1.31,0.825,0.598,0.262,0.182
2018,Malta,6.726,1.3,1.52,0.999,0.564,0.375,0.151
2018,Mexico,6.595,1.07,1.323,0.861,0.433,0.074,0.073
2018,France,6.592,1.324,1.472,1.045,0.436,0.111,0.183
2018,Taiwan,6.446,1.368,1.43,0.914,0.351,0.242,0.097
2018,Chile,6.444,1.159,1.369,0.92,0.357,0.187,0.056
2018,Guatemala,6.436,0.8,1.269,0.746,0.535,0.175,0.078
2018,Saudi Arabia,6.375,1.403,1.357,0.795,0.439,0.08,0.132
2018,Qatar,6.374,1.684,1.313,0.871,0.555,0.22,0.167
2018,Spain,6.354,1.286,1.484,1.062,0.362,0.153,0.079
2018,Panama,6.321,1.149,1.442,0.91,0.516,0.109,0.054
2018,Brazil,6.3,1.004,1.439,0.802,0.39,0.099,0.086
2018,Uruguay,6.293,1.124,1.465,0.891,0.523,0.127,0.15
2018,Singapore,6.262,1.572,1.463,1.141,0.556,0.271,0.453
2018,El Salvador,6.253,0.794,1.242,0.789,0.43,0.093,0.074
2018,Italy,6.223,1.294,1.488,1.039,0.231,0.158,0.03
2018,Bahrain,6.199,1.362,1.368,0.871,0.536,0.255,0.11
2018,Slovakia,6.198,1.246,1.504,0.881,0.334,0.121,0.014
2018,Trinidad & Tobago,6.192,1.231,1.477,0.713,0.489,0.185,0.016
2018,Poland,6.182,1.206,1.438,0.884,0.483,0.117,0.05
2018,Uzbekistan,6.174,0.745,1.529,0.756,0.631,0.322,0.24
2018,Lithuania,6.149,1.238,1.515,0.818,0.291,0.043,0.042
2018,Colombia,6.125,0.985,1.41,0.841,0.47,0.099,0.034
2018,Slovenia,6.118,1.258,1.523,0.953,0.564,0.144,0.057
2018,Nicaragua,6.105,0.694,1.325,0.835,0.435,0.2,0.127
2018,Kosovo,6.1,0.882,1.232,0.758,0.489,0.262,0.006
2018,Argentina,6.086,1.092,1.432,0.881,0.471,0.066,0.05
2018,Romania,6.07,1.162,1.232,0.825,0.462,0.083,0.005
2018,Cyprus,6.046,1.263,1.223,1.042,0.406,0.19,0.041
2018,Ecuador,6.028,0.912,1.312,0.868,0.498,0.126,0.087
2018,Kuwait,6.011,1.05,1.409,0.828,0.557,0.359,0.028
2018,Thailand,6.008,1.05,1.409,0.828,0.557,0.359,0.028
2018,Latvia,5.94,1.187,1.465,0.812,0.264,0.075,0.064
2018,South Korea,5.895,1.301,1.219,1.036,0.159,0.175,0.056
2018,Estonia,5.893,1.237,1.528,0.874,0.495,0.103,0.161
2018,Jamaica,5.89,0.831,1.478,0.831,0.49,0.107,0.028
2018,Mauritius,5.888,1.12,1.402,0.798,0.498,0.215,0.06
2018,Japan,5.886,1.327,1.419,1.088,0.445,0.069,0.14
2018,Honduras,5.86,0.642,1.236,0.828,0.507,0.246,0.078
2018,Kazakhstan,5.809,1.173,1.508,0.729,0.41,0.146,0.096
2018,Bolivia,5.779,0.776,1.209,0.706,0.511,0.137,0.064
2018,Hungary,5.758,1.201,1.41,0.828,0.199,0.081,0.02
2018,Paraguay,5.743,0.855,1.475,0.777,0.514,0.184,0.08
2018,Northern Cyprus,5.718,1.263,1.252,1.042,0.417,0.191,0.162
2018,Peru,5.697,0.96,1.274,0.854,0.455,0.083,0.027
2018,Portugal,5.693,1.221,1.431,0.999,0.508,0.047,0.025
2018,Pakistan,5.653,0.677,0.886,0.535,0.313,0.22,0.098
2018,Russia,5.648,1.183,1.452,0.726,0.334,0.082,0.031
2018,Philippines,5.631,0.807,1.293,0.657,0.558,0.117,0.107
2018,Serbia,5.603,1.004,1.383,0.854,0.282,0.137,0.039
2018,Moldova,5.529,0.685,1.328,0.739,0.245,0.181,0
2018,Libya,5.525,1.044,1.303,0.673,0.416,0.133,0.152
2018,Montenegro,5.523,1.051,1.361,0.871,0.197,0.142,0.08
2018,Tajikistan,5.467,0.493,1.098,0.718,0.389,0.23,0.144
2018,Croatia,5.432,1.155,1.266,0.914,0.296,0.119,0.022
2018,Hong Kong,5.43,1.438,1.277,1.122,0.44,0.258,0.287
2018,Dominican Republic,5.425,1.015,1.401,0.779,0.497,0.113,0.101
2018,Bosnia and Herzegovina,5.386,0.945,1.212,0.845,0.212,0.263,0.006
2018,Turkey,5.373,1.183,1.36,0.808,0.195,0.083,0.106
2018,Malaysia,5.339,1.221,1.171,0.828,0.508,0.26,0.024
2018,Belarus,5.323,1.067,1.465,0.789,0.235,0.094,0.142
2018,Greece,5.287,1.181,1.156,0.999,0.067,0,0.034
2018,Mongolia,5.285,0.948,1.531,0.667,0.317,0.235,0.038
2018,North Macedonia,5.274,0.983,1.294,0.838,0.345,0.185,0.034
2018,Nigeria,5.265,0.696,1.111,0.245,0.426,0.215,0.041
2018,Kyrgyzstan,5.261,0.551,1.438,0.723,0.508,0.3,0.023
2018,Turkmenistan,5.247,1.052,1.538,0.657,0.394,0.244,0.028
2018,Algeria,5.211,1.002,1.16,0.785,0.086,0.073,0.114
2018,Morocco,5.208,0.801,0.782,0.782,0.418,0.036,0.076
2018,Azerbaijan,5.208,1.043,1.147,0.769,0.351,0.035,0.182
2018,Lebanon,5.197,0.987,1.224,0.815,0.216,0.166,0.027
2018,Indonesia,5.192,0.931,1.203,0.66,0.491,0.498,0.028
2018,China,5.191,1.029,1.125,0.893,0.521,0.058,0.1
2018,Vietnam,5.175,0.741,1.346,0.851,0.543,0.147,0.073
2018,Bhutan,5.082,0.813,1.321,0.604,0.457,0.37,0.167
2018,Cameroon,5.044,0.549,0.91,0.331,0.381,0.187,0.037
2018,Bulgaria,5.011,1.092,1.513,0.815,0.311,0.081,0.004
2018,Ghana,4.996,0.611,0.868,0.486,0.381,0.245,0.04
2018,Ivory Coast,4.944,0.569,0.808,0.232,0.352,0.154,0.09
2018,Nepal,4.913,0.446,1.226,0.677,0.439,0.285,0.089
2018,Jordan,4.906,0.837,1.225,0.815,0.383,0.11,0.13
2018,Benin,4.883,0.393,0.437,0.397,0.349,0.175,0.082
2018,Congo (Brazzaville),4.812,0.673,0.799,0.508,0.372,0.105,0.093
2018,Gabon,4.799,1.057,1.183,0.571,0.295,0.043,0.055
2018,Laos,4.796,0.764,1.03,0.551,0.547,0.266,0.164
2018,South Africa,4.722,0.96,1.351,0.469,0.389,0.13,0.055
2018,Albania,4.719,0.947,0.848,0.874,0.383,0.178,0.027
2018,Venezuela,4.707,0.96,1.427,0.805,0.154,0.064,0.047
2018,Cambodia,4.7,0.574,1.122,0.637,0.609,0.232,0.062
2018,Palestinian Territories,4.696,0.657,1.247,0.672,0.225,0.103,0.066
2018,Senegal,4.681,0.45,1.134,0.571,0.292,0.153,0.072
2018,Somalia,4.668,0,0.698,0.268,0.559,0.243,0.27
2018,Namibia,4.639,0.879,1.313,0.477,0.401,0.07,0.056
2018,Niger,4.628,0.138,0.774,0.366,0.318,0.188,0.102
2018,Burkina Faso,4.587,0.331,1.056,0.38,0.255,0.177,0.113
2018,Armenia,4.559,0.85,1.055,0.815,0.283,0.095,0.064
2018,Iran,4.548,1.1,0.842,0.785,0.305,0.27,0.125
2018,Guinea,4.534,0.38,0.829,0.375,0.332,0.207,0.086
2018,Georgia,4.519,0.886,0.666,0.752,0.346,0.043,0.164
2018,Gambia,4.516,0.308,0.939,0.428,0.382,0.269,0.167
2018,Kenya,4.509,0.512,0.983,0.581,0.431,0.372,0.053
2018,Mauritania,4.49,0.57,1.167,0.489,0.066,0.106,0.088
2018,Mozambique,4.466,0.204,0.986,0.39,0.494,0.197,0.138
2018,Tunisia,4.461,0.921,1,0.815,0.167,0.059,0.055
2018,Bangladesh,4.456,0.562,0.928,0.723,0.527,0.166,0.143
2018,Iraq,4.437,1.043,0.98,0.574,0.241,0.148,0.089
2018,Congo (Kinshasa),4.418,0.094,1.125,0.357,0.269,0.212,0.053
2018,Mali,4.39,0.385,1.105,0.308,0.327,0.153,0.052
2018,Sierra Leone,4.374,0.268,0.841,0.242,0.309,0.252,0.045
2018,Sri Lanka,4.366,0.949,1.265,0.831,0.47,0.244,0.047
2018,Myanmar,4.36,0.71,1.181,0.555,0.525,0.566,0.172
2018,Chad,4.35,0.35,0.766,0.192,0.174,0.198,0.078
2018,Ukraine,4.332,0.82,1.39,0.739,0.178,0.187,0.01
2018,Ethiopia,4.286,0.336,1.033,0.532,0.344,0.209,0.1
2018,Eswatini,4.212,0.811,1.149,0,0.313,0.074,0.135
2018,Uganda,4.189,0.332,1.069,0.443,0.356,0.252,0.06
2018,Egypt,4.166,0.913,1.039,0.644,0.241,0.076,0.067
2018,Zambia,4.107,0.578,1.058,0.426,0.431,0.247,0.087
2018,Togo,4.085,0.275,0.572,0.41,0.293,0.177,0.085
2018,India,4.015,0.755,0.765,0.588,0.498,0.2,0.085
2018,Liberia,3.975,0.073,0.922,0.443,0.37,0.233,0.033
2018,Comoros,3.973,0.274,0.757,0.505,0.142,0.275,0.078
2018,Madagascar,3.933,0.274,0.916,0.555,0.148,0.169,0.041
2018,Lesotho,3.802,0.489,1.169,0.168,0.359,0.107,0.093
2018,Burundi,3.775,0.046,0.447,0.38,0.22,0.176,0.18
2018,Zimbabwe,3.663,0.366,1.114,0.433,0.361,0.151,0.089
2018,Haiti,3.597,0.323,0.688,0.449,0.026,0.419,0.11
2018,Botswana,3.488,1.041,1.145,0.538,0.455,0.025,0.1
2018,Syria,3.462,0.619,0.378,0.44,0.013,0.331,0.141
2018,Malawi,3.41,0.191,0.56,0.495,0.443,0.218,0.089
2018,Yemen,3.38,0.287,1.163,0.463,0.143,0.108,0.077
2018,Rwanda,3.334,0.359,0.711,0.614,0.555,0.217,0.411
2018,Tanzania,3.231,0.476,0.885,0.499,0.417,0.276,0.147
2018,Afghanistan,3.203,0.35,0.517,0.361,0,0.158,0.025
2018,Central African Republic,3.083,0.026,0,0.105,0.225,0.235,0.035
2018,South Sudan,2.853,0.306,0.575,0.295,0.01,0.202,0.091
2015,Switzerland,7.587,1.39651,1.34951,0.94143,0.66557,0.29678,0.41978
2015,Iceland,7.561,1.30232,1.40223,0.94784,0.62877,0.4363,0.14145
2015,Denmark,7.527,1.32548,1.36058,0.87464,0.64938,0.34139,0.48357
2015,Norway,7.522,1.459,1.33095,0.88521,0.66973,0.34699,0.36503
2015,Canada,7.427,1.32629,1.32261,0.90563,0.63297,0.45811,0.32957
2015,Finland,7.406,1.29025,1.31826,0.88911,0.64169,0.23351,0.41372
2015,Netherlands,7.378,1.32944,1.28017,0.89284,0.61576,0.4761,0.31814
2015,Sweden,7.364,1.33171,1.28907,0.91087,0.6598,0.36262,0.43844
2015,New Zealand,7.286,1.25018,1.31967,0.90837,0.63938,0.47501,0.42922
2015,Australia,7.284,1.33358,1.30923,0.93156,0.65124,0.43562,0.35637
2015,Israel,7.278,1.22857,1.22393,0.91387,0.41319,0.33172,0.07785
2015,Costa Rica,7.226,0.95578,1.23788,0.86027,0.63376,0.25497,0.10583
2015,Austria,7.2,1.33723,1.29704,0.89042,0.62433,0.33088,0.18676
2015,Mexico,7.187,1.02054,0.91451,0.81444,0.48181,0.14074,0.21312
2015,United States,7.119,1.39451,1.24711,0.86179,0.54604,0.40105,0.1589
2015,Brazil,6.983,0.98124,1.23287,0.69702,0.49049,0.14574,0.17521
2015,Luxembourg,6.946,1.56391,1.21963,0.91894,0.61583,0.28034,0.37798
2015,Ireland,6.94,1.33596,1.36948,0.89533,0.61777,0.45901,0.28703
2015,Belgium,6.937,1.30782,1.28566,0.89667,0.5845,0.2225,0.2254
2015,United Arab Emirates,6.901,1.42727,1.12575,0.80925,0.64157,0.26428,0.38583
2015,United Kingdom,6.867,1.26637,1.28548,0.90943,0.59625,0.51912,0.32067
2015,Oman,6.853,1.36011,1.08182,0.76276,0.63274,0.21542,0.32524
2015,Venezuela,6.81,1.04424,1.25596,0.72052,0.42908,0.05841,0.11069
2015,Singapore,6.798,1.52186,1.02,1.02525,0.54252,0.31105,0.4921
2015,Panama,6.786,1.06353,1.1985,0.79661,0.5421,0.24434,0.0927
2015,Germany,6.75,1.32792,1.29937,0.89186,0.61477,0.28214,0.21843
2015,Chile,6.67,1.10715,1.12447,0.85857,0.44132,0.33363,0.12869
2015,Qatar,6.611,1.69042,1.0786,0.79733,0.6404,0.32573,0.52208
2015,France,6.575,1.27778,1.26038,0.94579,0.55011,0.12332,0.20646
2015,Argentina,6.574,1.05351,1.24823,0.78723,0.44974,0.11451,0.08484
2015,Czech Republic,6.505,1.17898,1.20643,0.84483,0.46364,0.10686,0.02652
2015,Uruguay,6.485,1.06166,1.2089,0.8116,0.60362,0.2324,0.24558
2015,Colombia,6.477,0.91861,1.24018,0.69077,0.53466,0.18401,0.0512
2015,Thailand,6.455,0.9669,1.26504,0.7385,0.55664,0.5763,0.03187
2015,Saudi Arabia,6.411,1.39541,1.08393,0.72025,0.31048,0.13706,0.32524
2015,Spain,6.329,1.23011,1.31379,0.95562,0.45951,0.18227,0.06398
2015,Malta,6.302,1.2074,1.30203,0.88721,0.60365,0.51752,0.13586
2015,Taiwan,6.298,1.29098,1.07617,0.8753,0.3974,0.25376,0.08129
2015,Kuwait,6.295,1.55422,1.16594,0.72492,0.55499,0.16228,0.25609
2015,Suriname,6.269,0.99534,0.972,0.6082,0.59657,0.16991,0.13633
2015,Trinidad and Tobago,6.168,1.21183,1.18354,0.61483,0.55884,0.31844,0.0114
2015,El Salvador,6.13,0.76454,1.02507,0.67737,0.4035,0.10692,0.11776
2015,Guatemala,6.123,0.74553,1.04356,0.64425,0.57733,0.27489,0.09472
2015,Uzbekistan,6.003,0.63244,1.34043,0.59772,0.65821,0.22837,0.30826
2015,Slovakia,5.995,1.16891,1.26999,0.78902,0.31751,0.16893,0.03431
2015,Japan,5.987,1.27074,1.25712,0.99111,0.49615,0.10705,0.1806
2015,South Korea,5.984,1.24461,0.95774,0.96538,0.33208,0.18557,0.07857
2015,Ecuador,5.975,0.86402,0.99903,0.79075,0.48574,0.11541,0.1809
2015,Bahrain,5.96,1.32376,1.21624,0.74716,0.45492,0.17362,0.306
2015,Italy,5.948,1.25114,1.19777,0.95446,0.26236,0.22823,0.02901
2015,Bolivia,5.89,0.68133,0.97841,0.5392,0.57414,0.20536,0.088
2015,Moldova,5.889,0.59448,1.01528,0.61826,0.32818,0.20951,0.01615
2015,Paraguay,5.878,0.75985,1.30477,0.66098,0.53899,0.3424,0.08242
2015,Kazakhstan,5.855,1.12254,1.12241,0.64368,0.51649,0.11827,0.08454
2015,Slovenia,5.848,1.18498,1.27385,0.87337,0.60855,0.25328,0.03787
2015,Lithuania,5.833,1.14723,1.25745,0.73128,0.21342,0.02641,0.01031
2015,Nicaragua,5.828,0.59325,1.14184,0.74314,0.55475,0.27815,0.19317
2015,Peru,5.824,0.90019,0.97459,0.73017,0.41496,0.14982,0.05989
2015,Belarus,5.813,1.03192,1.23289,0.73608,0.37938,0.11046,0.1909
2015,Poland,5.791,1.12555,1.27948,0.77903,0.53122,0.16759,0.04212
2015,Malaysia,5.77,1.12486,1.07023,0.72394,0.53024,0.33075,0.10501
2015,Croatia,5.759,1.08254,0.79624,0.78805,0.25883,0.05444,0.0243
2015,Libya,5.754,1.13145,1.11862,0.7038,0.41668,0.18295,0.11023
2015,Russia,5.716,1.13764,1.23617,0.66926,0.36679,0.00199,0.03005
2015,Jamaica,5.709,0.81038,1.15102,0.68741,0.50442,0.2123,0.02299
2015,North Cyprus,5.695,1.20806,1.07008,0.92356,0.49027,0.26169,0.1428
2015,Cyprus,5.689,1.20813,0.89318,0.92356,0.40672,0.30638,0.06146
2015,Algeria,5.605,0.93929,1.07772,0.61766,0.28579,0.07822,0.17383
2015,Kosovo,5.589,0.80148,0.81198,0.63132,0.24749,0.2831,0.04741
2015,Turkmenistan,5.548,0.95847,1.22668,0.53886,0.4761,0.16979,0.30844
2015,Mauritius,5.477,1.00761,0.98521,0.7095,0.56066,0.37744,0.07521
2015,Hong Kong,5.474,1.38604,1.05818,1.01328,0.59608,0.39478,0.37124
2015,Estonia,5.429,1.15174,1.22791,0.77361,0.44888,0.0868,0.15184
2015,Indonesia,5.399,0.82827,1.08708,0.63793,0.46611,0.51535,0
2015,Vietnam,5.36,0.63216,0.91226,0.74676,0.59444,0.1686,0.10441
2015,Turkey,5.332,1.06098,0.94632,0.73172,0.22815,0.12253,0.15746
2015,Kyrgyzstan,5.286,0.47428,1.15115,0.65088,0.43477,0.3003,0.04232
2015,Nigeria,5.268,0.65435,0.90432,0.16007,0.34334,0.27233,0.0403
2015,Bhutan,5.253,0.77042,1.10395,0.57407,0.53206,0.47998,0.15445
2015,Azerbaijan,5.212,1.02389,0.93793,0.64045,0.3703,0.07799,0.16065
2015,Pakistan,5.194,0.59543,0.41411,0.51466,0.12102,0.33671,0.10464
2015,Jordan,5.192,0.90198,1.05392,0.69639,0.40661,0.11053,0.14293
2015,Montenegro,5.192,0.97438,0.90557,0.72521,0.1826,0.1614,0.14296
2015,China,5.14,0.89012,0.94675,0.81658,0.51697,0.08185,0.02781
2015,Zambia,5.129,0.47038,0.91612,0.29924,0.48827,0.19591,0.12468
2015,Romania,5.124,1.04345,0.88588,0.7689,0.35068,0.13748,0.00649
2015,Serbia,5.123,0.92053,1.00964,0.74836,0.20107,0.19231,0.02617
2015,Portugal,5.102,1.15991,1.13935,0.87519,0.51469,0.13719,0.01078
2015,Latvia,5.098,1.11312,1.09562,0.72437,0.29671,0.18226,0.06332
2015,Philippines,5.073,0.70532,1.03516,0.58114,0.62545,0.24991,0.12279
2015,Somaliland region,5.057,0.18847,0.95152,0.43873,0.46582,0.50318,0.39928
2015,Morocco,5.013,0.73479,0.64095,0.60954,0.41691,0.07172,0.08546
2015,Macedonia,5.007,0.91851,1.00232,0.73545,0.33457,0.22359,0.05327
2015,Mozambique,4.971,0.08308,1.02626,0.09131,0.34037,0.22269,0.15603
2015,Albania,4.959,0.87867,0.80434,0.81325,0.35733,0.14272,0.06413
2015,Bosnia and Herzegovina,4.949,0.83223,0.91916,0.79081,0.09245,0.24808,0.00227
2015,Lesotho,4.898,0.37545,1.04103,0.07612,0.31767,0.16388,0.12504
2015,Dominican Republic,4.885,0.89537,1.17202,0.66825,0.57672,0.21684,0.14234
2015,Laos,4.876,0.59066,0.73803,0.54909,0.59591,0.42192,0.24249
2015,Mongolia,4.874,0.82819,1.3006,0.60268,0.43626,0.3323,0.02666
2015,Swaziland,4.867,0.71206,1.07284,0.07566,0.30658,0.18259,0.0306
2015,Greece,4.857,1.15406,0.92933,0.88213,0.07699,0,0.01397
2015,Lebanon,4.839,1.02564,0.80001,0.83947,0.33916,0.21854,0.04582
2015,Hungary,4.8,1.12094,1.20215,0.75905,0.32112,0.128,0.02758
2015,Honduras,4.788,0.59532,0.95348,0.6951,0.40148,0.23027,0.06825
2015,Tajikistan,4.786,0.39047,0.85563,0.57379,0.47216,0.22974,0.15072
2015,Tunisia,4.739,0.88113,0.60429,0.73793,0.26268,0.06431,0.06358
2015,Palestinian Territories,4.715,0.59867,0.92558,0.66015,0.24499,0.11251,0.12905
2015,Bangladesh,4.694,0.39753,0.43106,0.60164,0.4082,0.21222,0.12569
2015,Iran,4.686,1.0088,0.54447,0.69805,0.30033,0.38086,0.05863
2015,Ukraine,4.681,0.79907,1.20278,0.6739,0.25123,0.15275,0.02961
2015,Iraq,4.677,0.98549,0.81889,0.60237,0,0.17922,0.13788
2015,South Africa,4.642,0.92049,1.18468,0.27688,0.33207,0.11973,0.08884
2015,Ghana,4.633,0.54558,0.67954,0.40132,0.42342,0.23087,0.04355
2015,Zimbabwe,4.61,0.271,1.03276,0.33475,0.25861,0.18987,0.08079
2015,Liberia,4.571,0.0712,0.78968,0.34201,0.28531,0.24362,0.06232
2015,India,4.565,0.64499,0.38174,0.51529,0.39786,0.26475,0.08492
2015,Sudan,4.55,0.52107,1.01404,0.36878,0.10081,0.19062,0.1466
2015,Haiti,4.518,0.26673,0.74302,0.38847,0.24425,0.46187,0.17175
2015,Congo (Kinshasa),4.517,0,1.0012,0.09806,0.22605,0.24834,0.07625
2015,Nepal,4.514,0.35997,0.86449,0.56874,0.38282,0.32296,0.05907
2015,Ethiopia,4.512,0.19073,0.60406,0.44055,0.4345,0.24325,0.15048
2015,Sierra Leone,4.507,0.33024,0.95571,0,0.4084,0.21488,0.08786
2015,Mauritania,4.436,0.45407,0.86908,0.35874,0.24232,0.219,0.17461
2015,Kenya,4.419,0.36471,0.99876,0.41435,0.42215,0.37542,0.05839
2015,Djibouti,4.369,0.44025,0.59207,0.36291,0.46074,0.18093,0.28105
2015,Armenia,4.35,0.76821,0.77711,0.7299,0.19847,0.07855,0.039
2015,Botswana,4.332,0.99355,1.10464,0.04776,0.49495,0.10461,0.12474
2015,Myanmar,4.307,0.27108,0.70905,0.48246,0.44017,0.79588,0.19034
2015,Georgia,4.297,0.7419,0.38562,0.72926,0.40577,0.05547,0.38331
2015,Malawi,4.292,0.01604,0.41134,0.22562,0.43054,0.33128,0.06977
2015,Sri Lanka,4.271,0.83524,1.01905,0.70806,0.53726,0.40828,0.09179
2015,Cameroon,4.252,0.4225,0.88767,0.23402,0.49309,0.20618,0.05786
2015,Bulgaria,4.218,1.01216,1.10614,0.76649,0.30587,0.11921,0.00872
2015,Egypt,4.194,0.8818,0.747,0.61712,0.17288,0.11291,0.06324
2015,Yemen,4.077,0.54649,0.68093,0.40064,0.35571,0.09131,0.07854
2015,Angola,4.033,0.75778,0.8604,0.16683,0.10384,0.12344,0.07122
2015,Mali,3.995,0.26074,1.03526,0.20583,0.38857,0.18798,0.12352
2015,Congo (Brazzaville),3.989,0.67866,0.6629,0.31051,0.41466,0.12388,0.11686
2015,Comoros,3.956,0.23906,0.79273,0.36315,0.22917,0.17441,0.199
2015,Uganda,3.931,0.21102,1.13299,0.33861,0.45727,0.29066,0.07267
2015,Senegal,3.904,0.36498,0.97619,0.4354,0.36772,0.20843,0.10713
2015,Gabon,3.896,1.06024,0.90528,0.43372,0.31914,0.06822,0.11091
2015,Niger,3.845,0.0694,0.77265,0.29707,0.47692,0.19387,0.15639
2015,Cambodia,3.819,0.46038,0.62736,0.61114,0.66246,0.40359,0.07247
2015,Tanzania,3.781,0.2852,1.00268,0.38215,0.32878,0.34377,0.05747
2015,Madagascar,3.681,0.20824,0.66801,0.46721,0.19184,0.21333,0.08124
2015,Central African Republic,3.678,0.0785,0,0.06699,0.48879,0.23835,0.08289
2015,Chad,3.667,0.34193,0.76062,0.1501,0.23501,0.18386,0.05269
2015,Guinea,3.656,0.17417,0.46475,0.24009,0.37725,0.28657,0.12139
2015,Ivory Coast,3.655,0.46534,0.77115,0.15185,0.46866,0.20165,0.17922
2015,Burkina Faso,3.587,0.25812,0.85188,0.27125,0.39493,0.21747,0.12832
2015,Afghanistan,3.575,0.31982,0.30285,0.30335,0.23414,0.3651,0.09719
2015,Rwanda,3.465,0.22208,0.7737,0.42864,0.59201,0.22628,0.55191
2015,Benin,3.34,0.28665,0.35386,0.3191,0.4845,0.1826,0.0801
2015,Syria,3.006,0.6632,0.47489,0.72193,0.15684,0.47179,0.18906
2015,Burundi,2.905,0.0153,0.41587,0.22396,0.1185,0.19727,0.10062
2015,Togo,2.839,0.20868,0.13995,0.28443,0.36453,0.16681,0.10731
